movieId,title,genres,original_language,cast,director,keywords,release_year
8012,Get Shorty,"['comedy,thriller,crime']",en,"['johntravolta', 'genehackman', 'renerusso']",barrysonnenfeld,"['gambling,miami,basedonnovel,job,murder,travel,mafia,money,debt,mobster,business,hollywood,gangster,crime,violence,drug,producer,con']",1995
1710,Copycat,"['drama,thriller']",en,"['sigourneyweaver', 'hollyhunter', 'willpatton']",jonamiel,"['policebrutality,psychology,policeoperation,policeprotection,serialkiller,psychologist,cowardliness']",1995
9691,Assassins,"['action,adventure,crime,thriller']",en,"['sylvesterstallone', 'antoniobanderas', 'juliannemoore']",richarddonner,"['competition,assassination,cia,bank,cat,mexicanstandoff,seattle,hitman,missionofmurder,hiddencamera,rivalry,rescue,shootout,policechase,sniperrifle,silencer,doublecross,caribbean,detroitmichigan']",1995
12665,Powder,"['drama,fantasy,sciencefiction,thriller']",en,"['marysteenburgen', 'seanpatrickflanery', 'lancehenriksen']",victorsalva,"['deadanimal,shottodeath,teenageboy,heldatgunpoint,teacherstudentrelationship,albino,fainting,jacobsladder,christallegory,psionicpower,healingpower,lookingpale,flickeringlight,extrasensoryperception']",1995
451,Leaving Las Vegas,"['drama,romance']",en,"['nicolascage', 'elisabethshue', 'juliansands']",mikefiggis,"['individual,prostitute,alcohol,casino,loveatfirstsight,lovesickness,filmproducer,screenwriter,hotelroom,dyinganddeath,rageandhate,unsociability,alcoholism,losangeles,alcoholabuse,attemptedsuicide']",1995
16420,Othello,['drama'],en,"['laurencefishburne', 'irènejacob', 'kennethbranagh']",oliverparker,"['shakespeare,jealousy,friends,moor']",1995
9263,Now And Then,"['comedy,drama,family']",en,"['christinaricci', ""rosieo'donnell"", 'thorabirch']",leslilinkaglatter,"['1970s,femalefriendship,comingofage,gynecologist,photocopier,truthordare,womandirector']",1995
17015,Persuasion,"['drama,romance']",en,"['amandaroot', 'ciaránhinds', 'susanfleetwood']",rogermichell,"['captain,napoleonicwars,oldflame,admiral']",1995
902,The City Of Lost Children,"['fantasy,sciencefiction,adventure']",fr,"['ronperlman', 'dominiquepinon', 'judithvittet']",jeanpierrejeunet,"['clone,dream,island,eye,dystopia,aging,friendship,rescue,children,girl,childhood']",1995
37557,Shanghai Triad,"['drama,crime']",zh,"['gongli', 'libao-tian', 'wangxiaoxiao']",zhangyimou,"['servant,cabaret,shanghai,diva,uncle,mistress,umbrella']",1995
9909,Dangerous Minds,"['drama,crime']",en,"['michellepfeiffer', 'georgedzundza', 'courtneyb.vance']",johnnsmith,"['rapmusic,karate,highschool,navalofficer,teacher,amusementpark']",1995
63,Twelve Monkeys,"['sciencefiction,thriller,mystery']",en,"['brucewillis', 'madeleinestowe', 'bradpitt']",terrygilliam,"['schizophrenia,philadelphia,cassandrasyndrom,stockholmsyndrome,timetravel,post-apocalyptic,dystopia,lethalvirus,monkey,subterranean']",1995
9598,Babe,"['fantasy,drama,comedy,family']",en,"['christinecavanaugh', 'miriammargolyes', 'dannymann']",chrisnoonan,"['sheep,pig,affection,piglet,heroism,talkinganimal,separation,germanshepherd,grandson,talkingpig']",1995
47018,Carrington,"['history,drama,romance']",en,"['emmathompson', 'jonathanpryce', 'stevenwaddington']",christopherhampton,"['england,painter,conscientiousobjector,independentfilm,soldier']",1995
687,Dead Man Walking,['drama'],en,"['susansarandon', 'seanpenn', 'robertprosky']",timrobbins,"['prison,rape,sociallydeprivedfamily,penalty,deathpenalty,despair,deathrow,begnadigung,therapist,self-discovery,prisoncell,courtcase,deathsentence,doomedman,sentence,lethalinjection,forgiveness,charity,mercypetition,rageandhate,unsociability,rightandjustice,court,electricchair,cowardliness']",1995
33689,It Takes Two,"['comedy,family,romance']",en,"['kirstiealley', 'steveguttenberg', 'ashleyolsen']",andytennant,"['orphan,identicaltwin']",1995
9603,Clueless,"['comedy,drama,romance']",en,"['aliciasilverstone', 'staceydash', 'brittanymurphy']",amyheckerling,"['puberty,highschool,makeamatch,spoiledchild,gayinterest,conflict,womandirector']",1995
34615,Cry The Beloved Country,['drama'],en,"['jamesearljones', 'charless.dutton', 'jackrobinson']",darrelljamesroodt,['southafrica'],1995
31174,Richard Iii,"['drama,war']",en,"['ianmckellen', 'annettebening', 'jimbroadbent']",richardloncraine,"['england,shakespeare,kidnapping,murder,king']",1995
11443,Dead Presidents,"['action,crime,drama,history']",en,"['larenztate', 'keithdavid', 'christucker']",alberthughes,"['money,lossofvirginity,hidinginadumpster,mercykilling,armoredtruck,crushedbyacar']",1995
35196,Restoration,"['drama,romance']",en,"['robertdowneyjr.', 'megryan', 'samneill']",michaelhoffman,"['jealousy,medicine,fountain,court,wealth,spaniel,gloves']",1995
9312,Mortal Kombat,"['action,fantasy']",en,"['christopherlambert', 'robinshou', 'lindenashby']",paulwsanderson,"['martialarts,monster,island,gore,sorcerer,tournament,violence,basedonvideogame,handtohandcombat']",1995
577,To Die For,"['fantasy,drama,comedy,thriller']",en,"['nicolekidman', 'mattdillon', 'joaquinphoenix']",gusvansant,"['adultery,winter,obsession,television,newhampshire,narcissisticpersonalitydisorder']",1995
11861,How To Make An American Quilt,"['drama,romance']",en,"['winonaryder', 'annebancroft', 'ellenburstyn']",jocelynmoorhouse,"['weddingvows,marriageproposal,marriedcouple,monogamy,advice,marriage,quilt,love,familyholiday,extramaritalaffair,grandmother,womandirector']",1995
807,Se7En,"['crime,mystery,thriller']",en,"['bradpitt', 'morganfreeman', 'gwynethpaltrow']",davidfincher,"['self-fulfillingprophecy,detective,s.w.a.t.,drugdealer,evisceration,lustandimpulsiveness,rageandhate,prideandvanity,immoderateness,insomnia,investigation,pension,police,serialkiller']",1995
10530,Pocahontas,"['adventure,animation,drama,family']",en,"['irenebedard', 'melgibson', 'davidogdenstiers']",mikegabriel,"['cultureclash,settler,forbiddenlove,colony,musical,goldrush,princess,romance,nativeamerican,animation,virginia,starcrossedlovers,referencetopizarro,jamestownvirginia,pugdog,crossculturalrelationship,musket,animatetree,indianchief,basedonmythsorfolklore,17thcentury,shamanism,songs,indiansvs.settlers,animalsidekick,powhatan,landclaim']",1995
8391,When Night Is Falling,"['drama,romance']",en,"['pascalebussières', 'rachaelcrawford', 'henryczerny']",patriciarozema,"['professor,lgbt,womandirector']",1995
629,The Usual Suspects,"['drama,crime,thriller']",en,"['stephenbaldwin', 'gabrielbyrne', 'chazzpalminteri']",bryansinger,"['law,relatives,theft,criminal,criminalmastermind,hungarian,sibling']",1995
11448,Mighty Aphrodite,"['comedy,romance']",en,"['woodyallen', 'mirasorvino', 'helenabonhamcarter']",woodyallen,"['prostitute,adoption,adoptivefather,childlessness,lookingforbirthparents,adoptivemother,independentfilm,illegalprostitution,child']",1995
49133,Lamerica,"['drama,foreign']",it,"['enricoloverso', 'micheleplacido', 'piromilkani']",gianniamelio,['independentfilm'],1994
26441,The Big Green,"['action,adventure,comedy,family']",en,"['steveguttenberg', ""oliviad'abo"", 'jayo.sanders']",hollygoldbergsloan,"['sport,kidsandfamily,soccer,womandirector']",1995
97406,Georgia,['drama'],en,"['jenniferjasonleigh', 'marewinningham', 'tedlevine']",ulugrosbard,"['alcohol,artist,music,drug,band']",1995
9089,Home For The Holidays,"['comedy,drama,romance']",en,"['hollyhunter', 'robertdowneyjr.', 'annebancroft']",jodiefoster,"['baltimore,thanksgiving,familyclan,familyconflict,generationsconflict,womandirector']",1995
11010,The Postman,"['comedy,drama,romance']",it,"['philippenoiret', 'massimotroisi', 'mariagraziacucinotta']",michaelradford,"['island,letter,postman,fisherman,poet']",1994
11359,The Indian In The Cupboard,"['adventure,family,fantasy']",en,"['halscardino', 'litefoot', 'lindsaycrouse']",frankoz,"['cupboard,games,puppet,parallelworld,toycomestolife']",1995
17182,Eye For An Eye,"['drama,thriller']",en,"['sallyfield', 'kiefersutherland', 'edharris']",johnschlesinger,"['rape,gun,self-defense,grievingparents']",1996
2054,Mr Hollands Opus,"['music,drama,family']",en,"['richarddreyfuss', 'glenneheadly', 'jaythomas']",stephenherek,"['composer,mentor,deaf-mute,musical,apprentice,privatelife,music,disabled']",1995
10607,Dont Be A Menace To South Central While Drinking Your Juice In The Hood,['comedy'],en,"['shawnwayans', 'marlonwayans', 'traceycherellejones']",parisbarclay,"['date,slang,hip-hop,cousin,parody,hood,gang,socialsatire,racism,gangster']",1996
19760,Two If By Sea,"['comedy,romance']",en,"['sandrabullock', 'denisleary', 'yaphetkotto']",billbennett,"['island,painting,thief,seasickness']",1996
9536,Biodome,['comedy'],en,"['paulyshore', 'stephenbaldwin', 'joeylaurenadams']",jasonbloom,"['biotope,vegetarian,pollution']",1996
11525,Lawnmower Man 2 Beyond Cyberspace,"['action,sciencefiction']",en,"['patrickbergin', 'mattfrewer', ""austino'brien""]",farhadmann,"['hacker,virtualreality,computer,swordfight']",1996
4482,French Twist,"['comedy,romance']",fr,"['victoriaabril', 'josianebalasko', 'alainchabat']",josianebalasko,"['lovetriangle,southernfrance,estateagent,menageatrois,van,womandirector']",1995
10634,Friday,['comedy'],en,"['icecube', 'christucker', 'nialong']",fgarygray,"['rapmusic,parentchildrelationship,rapper,job']",1995
755,From Dusk Till Dawn,"['horror,action,thriller,crime']",en,"['georgeclooney', 'quentintarantino', 'harveykeitel']",robertrodriguez,"['dancing,brotherbrotherrelationship,sexualobsession,showdown,sheriff,eroticism,nudity,bankrobber,vampire,holywater,siege,stripper,priest,explosion,extremeviolence,bankrobbery,preacher,hostagesituation,crucifix,recreationalvehicle,bloodspurting,conveniencestore,femalevampire,mexicanamericanborder,nightclubentertainer,boaconstrictor']",1996
11859,Fair Game,"['action,thriller,romance']",en,"['williambaldwin', 'cindycrawford', 'stevenberkoff']",andrewsipes,"['bomb,miami,sex,detective,handcuffs,basedonnovel,hostage,fbi,kidnapping,russian,kgb,chase,sadism,parkinggarage,pizza,policeprotection,psychopath,remake,carcrash,conspiracy,ontherun,fugitive,shootout,gunfight,sadist,footchase,policedetective,policestation,carchase,heldatgunpoint,fbiagent,doublecross,cultfilm,computerhacker,machinegun,swatteam,grenadelauncher,underwaterscene,rogueagent,womanlawyer,damselindistress']",1995
28387,Kicking And Screaming,"['comedy,drama,romance']",en,"['joshhamilton', ""oliviad'abo"", 'carlosjacott']",noahbaumbach,['college'],1995
48750,Les Miserables,"['drama,history']",fr,"['jean-paulbelmondo', 'michelboujenah', 'alessandramartines']",claudelelouch,"['paris,nun,boxer,lawyer,jewish']",1995
20927,Bed Of Roses,"['drama,romance']",en,"['christianslater', 'marystuartmasterson', 'pamelaadlon']",michaelgoldenberg,"['florist,familyrelationships']",1996
36929,Big Bully,"['comedy,family']",en,"['rickmoranis', 'tomarnold', 'juliannephillips']",steveminer,['bully'],1996
9102,Screamers,"['horror,sciencefiction']",en,"['peterweller', 'roydupuis', 'jenniferrubin']",christianduguay,"['manvsmachine,alienplanet,struggleforsurvival']",1995
27526,The Crossing Guard,"['drama,thriller']",en,"['jacknicholson', 'davidmorse', 'anjelicahuston']",seanpenn,"['lossofdaughter,hit-and-rundriving,revenge,suspense,independentfilm,tragedy']",1995
9623,The Juror,"['drama,thriller']",en,"['demimoore', 'alecbaldwin', 'josephgordon-levitt']",briangibson,"['jurors,blackmail,courtcase,son,trial,courtroom']",1996
46785,The White Balloon,"['family,drama']",fa,"['aidamohammadkhani', 'mohsenkafili', 'fereshtehsadreorafaiy']",jafarpanahi,"['fish,money,celebration,goldfish']",1995
400,Things To Do In Denver When Youre Dead,"['drama,crime']",en,"['andygarcía', 'christopherlloyd', 'williamforsythe']",garyfleder,"['fathersonrelationship,bountyhunter,boat,wayoflife,coffin,denver,godmother,paranoia,hitman,friendship,psychopath,revenge,murder,independentfilm,mafia,diner,blood,gangster,violence,illegalprostitution,extramaritalaffair']",1995
880,Antonias Line,"['drama,comedy']",nl,"['willekevanammelrooy', 'elsdottermans', 'doravandergroen']",marleengorris,"['suicide,underdog,freelove,philosophy,rape,mentallydisabled,lossofmother,villagelife,worldwarii,feminism,indiansummer,familyhistory,widow,peasant,village,mathematics,freedom,rightandjustice,single,homosexuality,motherdaughterrelationship,domesticviolence,university,womandirector']",1995
146599,Once Upon A Time When We Were Colored,"['romance,drama']",en,"['alfreeman,jr.', 'phyliciarashād', 'paulakelly']",timreid,"['racialsegregation,familyrelationships,ruralsetting,africanamerican']",1996
8447,Angels And Insects,"['drama,romance']",en,"['markrylance', 'kristinscottthomas', 'patsykensit']",philiphaas,"['classsociety,richwoman-poorman,scientist,naturalist,insect']",1995
10534,White Squall,"['action,drama']",en,"['jeffbridges', 'carolinegoodall', 'johnsavage']",ridleyscott,"['sailingtrip,diary,sailing,survival,comingofage,teenageboy,discipline,squall,sail,shipcaptain,caribbean,malebonding,seasickness,stormatsea,1960s']",1996
17414,Dunston Checks In,"['adventure,comedy,family']",en,"['jasonalexander', 'fayedunaway', 'ericlloyd']",kenkwapis,"['boss,fistfight,bully,orangutan,hotelmanager']",1996
13997,Black Sheep,['comedy'],en,"['chrisfarley', 'davidspade', 'grantheslov']",penelopespheeris,"['nitrousoxide,candidcamera,doubleact,politicalsatire,crookedpolitician,womandirector']",1996
2086,Nick Of Time,"['crime,drama,thriller']",en,"['johnnydepp', 'courtneychase', 'charless.dutton']",johnbadham,"['assassination,trainstation,politics,losangeles']",1995
9095,Mary Reilly,"['drama,horror,thriller,romance']",en,"['juliaroberts', 'johnmalkovich', 'georgecole']",stephenfrears,"['servant,monster,laboratory,jekyllandhyde,housemaid,19thcentury']",1996
12158,Vampire In Brooklyn,"['comedy,horror,romance']",en,"['eddiemurphy', 'angelabassett', 'allenpayne']",wescraven,"['vampire,halfvampire']",1995
9283,Beautiful Girls,"['comedy,drama,romance']",en,"['mattdillon', 'noahemmerich', 'annabethgish']",teddemme,['hometown'],1996
9208,Broken Arrow,"['action,adventure,drama,thriller']",en,"['johntravolta', 'christianslater', 'samanthamathis']",johnwoo,"['helicopter,river,captain,underground,mexicanstandoff,countdown,pilot,fistfight,canyon,major,betrayal,gunfight,train,explosion,parkranger,desert,military,nucleardevice,boxing,stealthaircraft,abandonedmine,humvee']",1996
40154,A Midwinters Tale,['comedy'],en,"['richardbriers', 'joancollins', 'michaelmaloney']",kennethbranagh,"['play,hamlet,christmas,actor']",1995
406,La Haine,['drama'],fr,"['vincentcassel', 'hubertkoundé', 'saïdtaghmaoui']",mathieukassovitz,"['paris,neo-nazi,skinhead,robbery,policebrutality,hip-hop,gun,sociallydeprivedfamily,breakdance,arabian,boredom,revenge,suburb,violence,policeofficer,unemployment,capture,xenophobia']",1995
63076,Heidi Fleiss Hollywood Madam,['documentary'],en,"['nickbroomfield', 'heidifleiss', 'madamalex']",nickbroomfield,"['narration,hollywood,prostitution']",1995
11062,City Hall,"['drama,thriller']",en,"['alpacino', 'johncusack', 'bridgetfonda']",haroldbecker,"['corruption,undercover,warondrugs,mayor,drugdealer,presidentialelection,undercoveragent,investigation,police,drug']",1996
13685,Bottle Rocket,"['comedy,crime,drama']",en,"['lukewilson', 'owenwilson', 'lumicavazos']",wesanderson,"['brotherbrotherrelationship,robbery,burglar,languagebarrier,motel,independentfilm,psychiatrichospital,maid,theft,nervousbreakdown,escapade,laundryroom']",1996
2045,Unforgettable,"['drama,mystery,sciencefiction,thriller']",en,"['rayliotta', 'lindafiorentino', 'petercoyote']",johndahl,"['wifehusbandrelationship,experiment,police,murder,suspense,memory,forensic,gunman,animalexperimentation']",1996
9614,Happy Gilmore,['comedy'],en,"['adamsandler', 'benstiller', 'christophermcdonald']",dennisdugan,"['lossofmother,lossoffather,golf,sport,taxes']",1996
688,The Bridges Of Madison County,"['drama,romance']",en,"['merylstreep', 'clinteastwood', 'anniecorley']",clinteastwood,"[""farewell,adultery,loveatfirstsight,photographer,wifehusbandrelationship,iowa,loveofone'slife,motherrole,bridge,housewife,loveletter,peasant,marriagecrisis,photography,unsociability,secretlove,naturedocumentary""]",1995
11907,Nobody Loves Me,"['drama,comedy,family']",de,"['mariaschrader', 'pierresanoussi-bliss', 'michaelvonau']",dorisdrrie,"['prophecy,voodoo,single,fallinginlove,womandirector,richman']",1994
10874,Muppet Treasure Island,"['action,comedy,music,family,adventure']",en,"['timcurry', 'kevinbishop', 'jennifersaunders']",brianhenson,"['island,pirategang,puppet,treasurehunt']",1996
96357,Headless Body In Topless Bar,['crime'],en,"['raymondj.barry', 'rustambranaman', 'jennifermacdonald']",jamesbruce,['ex-con'],1995
197,Braveheart,"['action,drama,history,war']",en,"['melgibson', 'catherinemccormack', 'sophiemarceau']",melgibson,"['individual,scotland,inlovewithenemy,legend,independence,idealism,revolt,tyranny']",1995
33542,Rumble In The Bronx,"['crime,action,comedy,thriller']",cn,"['jackiechan', 'anitamui', 'françoiseyip']",stanleytong,"['newyork,martialarts,supermarket,gangwar,disabledchild,gang,wedding,diamond,bronx,duringcreditsstinger']",1995
71754,Margarets Museum,['drama'],en,"['helenabonhamcarter', 'cliverussell', 'craigolejnik']",mortransen,"['mining,dancelesson,coalmining,bagpipes']",1995
43612,Happiness Is In The Field,['comedy'],en,"['michelserrault', 'eddymitchell', 'sabineazéma']",tiennechatiliez,"['bestfriend,twins,country,identityswap,womandirector']",1995
51352,Anne Frank Remembered,"['documentary,drama,foreign']",en,"['kennethbranagh', 'glennclose']",jonblair,"['fascism,auschwitz,typhus,victim,interview,prejudice,burglary,rabbit']",1995
16934,The Young Poisoners Handbook,"['comedy,crime,drama']",en,"['tobiasarnold', 'ruthsheen', 'rogerlloydpack']",benjaminross,"['londonengland,poison,basedontruestory,murder,serialkiller,mentalinstitution,teenager,psychiatrist,stepmother,socialmisfit']",1995
10324,If Lucy Fell,"['comedy,romance']",en,"['sarahjessicaparker', 'ellemacpherson', 'scarlettjohansson']",ericschaeffer,"['roommate,single,love,independentfilm,bestfriend,brooklynbridge']",1996
78406,Steal Big Steal Little,"['comedy,drama']",en,"['andygarcía', 'alanarkin', 'rachelticotin']",andrewdavis,"['brotherbrotherrelationship,twinbrother,lawyer,estate,santabarbaracalifornia']",1995
55731,Race The Sun,"['action,adventure,comedy,drama,family']",en,"['halleberry', 'jimbelushi', 'caseyaffleck']",charlestkanganis,"['hawaii,australia,teacher,car,solarpower']",1996
11066,Boomerang,"['comedy,romance']",en,"['eddiemurphy', 'robingivens', 'halleberry']",reginaldhudlin,"[""roleofwomen,ladykiller,success,ladies'man,chefin,casanova,womanizer""]",1992
11104,Chungking Express,"['drama,comedy,romance']",cn,"['brigittelin', 'tonyleungchiu-wai', 'fayewong']",wongkarwai,"['ex-girlfriend,drugsmuggle,girlfriend,snackbar,romance,hongkong,pineapple,expirationdate,flightattendant']",1994
2074,Flirting With Disaster,"['comedy,romance']",en,"['benstiller', 'patriciaarquette', 'téaleoni']",davidorussell,"['lsd,lookingforbirthparents,half-brother,independentfilm']",1996
27793,The Neverending Story Iii Escape From Fantasia,['fantasy'],en,"['jasonjamesrichter', 'melodykay', 'kevinmcnulty']",petermacdonald,"['flying,magic']",1994
44284,The Silences Of The Palace,['drama'],ar,"['amelhedhili', 'najiaouerghi', 'fatimabensaïdane']",moufidatlatli,['womandirector'],1994
32622,Angela,"['comedy,drama']",en,"['mirandarhyne', 'charlotteeveblythe', 'annalevine']",rebeccamiller,"['independentfilm,womandirector']",1995
73067,Frankie Starlight,"['drama,romance,war']",it,"['mattdillon', 'corbanwalker', 'gabrielbyrne']",michaellindsayhogg,"['boy,writer,ireland,flashback,troopship']",1995
11863,Jade,"['action,thriller,mystery,romance']",en,"['davidcaruso', 'lindafiorentino', 'chazzpalminteri']",williamfriedkin,"['callgirl,sanfrancisco,investigation,murder']",1995
55475,Nueba Yol,"['comedy,drama,romance']",es,"['luisitomarti', 'alfonsozayas', 'caridadravelo']",ngelmuiz,"['newyork,emigration,dominicanrepublic']",1995
9101,Down Periscope,['comedy'],en,"['kelseygrammer', 'laurenholly', 'robschneider']",davidsward,"['submarine,u.s.navy,misfit']",1996
123360,From The Journals Of Jean Seberg,['documentary'],en,"['jeanseberg', 'marybethhurt']",markrappaport,['biography'],1995
5757,Man Of The Year,['comedy'],en,"['dirkshafer', 'marystein', 'claudettesutherland']",dirkshafer,"['homosexuality,independentfilm,mockumentary']",1995
39428,The Neon Bible,['drama'],en,"['jacobtierney', 'drakebell', 'genarowlands']",terencedavies,"['southernusa,basedonnovel,singer,south']",1995
9302,Up Close  Personal,"['drama,romance']",en,"['robertredford', 'michellepfeiffer', 'stockardchanning']",jonavnet,"['skabundertv,foran,nederstehylde']",1996
11000,The Birdcage,['comedy'],en,"['robinwilliams', 'genehackman', 'nathanlane']",mikenichols,"['gay,dragqueen,homophobia,florida,comingout,senator,politician,lgbt,crossdressing,1990s']",1996
249882,Virgin Mary,['drama'],en,"['martinsheen', 'michaelyork', 'morganfairchild']",jakovsedlar,"['mountain,miracle,apparition,communism,virginmary']",1995
16388,The Brothers Mcmullen,"['comedy,drama,romance']",en,"['sharialbert', 'maxinebahns', 'catharinebolz']",edwardburns,"['love,independentfilm,bestfriend,truelove,irishcatholic']",1995
9737,Bad Boys,"['action,comedy,crime,thriller']",en,"['willsmith', 'martinlawrence', 'téaleoni']",michaelbay,"['miami,detective,handcuffs,airport,mexicanstandoff,stripclub,witnessprotection,carcrash,internalaffairs,gunfight,explosion,brutality,footchase,carchase,druglord,hangar,loosecannon,bust,referencetoskittles,blackcop,badge,actionhero,corruptcop']",1995
30765,The Amazing Panda Adventure,"['action,adventure,drama,family']",en,"['stephenlang', 'ryanslater', 'yiding']",christophercain,"['china,panda,poacher']",1995
10474,The Basketball Diaries,"['drama,crime']",en,"['leonardodicaprio', 'lorrainebracco', 'jamesmadio']",scottkalvert,"['sport,basketball,addiction,friends,drug']",1995
22279,An Awfully Big Adventure,"['romance,drama,comedy']",en,"['alanrickman', 'hughgrant', 'georginacates']",mikenewell,"['england,basedonnovel,liverpool,theatrecompany,1940s']",1995
30157,Amateur,"['crime,comedy,drama,thriller']",en,"['isabellehuppert', 'martindonovan', 'elinalöwensohn']",halhartley,['independentfilm'],1994
568,Apollo 13,['drama'],en,"['tomhanks', 'billpaxton', 'kevinbacon']",ronhoward,"['moon,florida,nasa,spaceman,raceagainsttime,houston,basedontruestory,space,rescue,survival,disaster,explosion,astronaut,imax,saturnvrocket,courage,hypothermia,apolloprogram,capekennedy,lunarmission,spacecraftaccident']",1995
11780,Rob Roy,['adventure'],en,"['liamneeson', 'jessicalange', 'johnhurt']",michaelcatonjones,"['scotland,biography,18thcentury,highlands,violentman']",1995
34996,The Addiction,"['drama,horror']",en,"['lilitaylor', 'christopherwalken', 'annabellasciorra']",abelferrara,"['newyork,philosophy,vampire,blood,student,violence']",1995
414,Batman Forever,"['action,crime,fantasy']",en,"['valkilmer', 'tommyleejones', 'jimcarrey']",joelschumacher,"['riddle,dccomics,rose,gothamcity,partner,superhero,robin,brokenneck,psychologist,violence,criminal,districtattorney,millionaire,fallingdownstairs,tiedup,tommygun,beretta,knockedout,superpowers,disfigurement,fatherfigure']",1995
1873,Beyond Rangoon,"['drama,thriller']",en,"['patriciaarquette', 'francesmcdormand', 'uaungko']",johnboorman,"['burma,rangoon,doctor']",1995
5894,Blue In The Face,['comedy'],en,"['harveykeitel', 'loureed', 'michaelj.fox']",paulauster,"['smoking,cornershop,cigarette,tobacco,cigar,independentfilm']",1995
8839,Casper,"['fantasy,comedy,family']",en,"['christinaricci', 'billpullman', 'cathymoriarty']",bradsilberling,"['halloween,friendship,supernatural,afterlife,friends,danger,ghost,disorder,youngheroes,imaginary,supernaturalability,mischievouschildren']",1995
20649,Clockers,"['mystery,crime,drama']",en,"['harveykeitel', 'johnturturro', 'delroylindo']",spikelee,"['drugpusher,train,drug,druglord']",1995
10329,Congo,"['action,adventure,drama,mystery,sciencefiction,thriller']",en,"['lauralinney', 'dylanwalsh', 'erniehudson']",frankmarshall,"['gorilla,kongo,diamondmine,diamond']",1995
